date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus
04apr2012,131,4.9628448,0.016957054,.3274809160305344,.2694656488549618,0.007633588,.4452983278441995,.4826205706683178,0.087036292,1,4,0,0,0,95,9025,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05apr2012,31,3.4339871,0.034339227,.1741935483870968,.1290322580645161,0,.3609733632702484,.3794678348280585,0,0,4,0,0,0,96,9216,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06apr2012,5,2.0794415,0.2,0.2,-0.2,0.2,.4000000000000001,.4000000000000001,.4000000000000001,0,4,0,0,0,97,9409,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
07apr2012,5,1.6094379,0.2,0.14,-0.14,0,0.28,0.28,0,0,4,0,0,0,98,9604,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
08apr2012,2,0.69314718,0.5,0,0,0,0,0,0,0,4,0,0,0,99,9801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
09apr2012,1,0,1,0,0,0,0,0,0,0,4,0,0,0,100,10000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10apr2012,1,0.69314718,1,0,0,0,0,0,0,0,4,0,0,0,101,10201,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11apr2012,6,1.7917595,0.27777779,0,0,0,0,0,0,0,4,1,1,0,102,10404,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12apr2012,12,2.4849067,0.083333336,0.058333333,0.058333333,0.083333333,.1934697794373983,.1934697794373983,.2763853991962833,0,4,0,1,0,103,10609,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13apr2012,9,2.4849067,0.13580248,.1166666666666666,0.038888889,0.055555556,.2333333333333333,.2579597059165311,.1571348402636772,0,4,0,0,0,104,10816,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14apr2012,22,3.3672957,0.045454547,0.045454545,0.045454545,0,.2082988952252656,.2082988952252656,0,0,4,0,0,0,105,11025,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15apr2012,13,2.5649493,0.11242604,.1307692307692308,0.023076923,0,.3122735866182221,.3377615138476946,0,0,4,0,0,0,106,11236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16apr2012,8,2.0794415,0.15625,0,0,0,0,0,0,0,4,0,0,0,107,11449,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17apr2012,8,2.3025851,0.15625,0.0875,-0.0875,0,.2315032397181516,.2315032397181516,0,0,4,0,1,1,108,11664,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18apr2012,8,2.3978953,0.15625,0.25,0.25,0,.4330127018922193,.4330127018922193,0,0,4,0,1,0,109,11881,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19apr2012,1,0.69314718,1,0,0,0,0,0,0,0,4,0,0,0,110,12100,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20apr2012,5,1.6094379,0.2,0,0,0,0,0,0,0,4,0,1,0,111,12321,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21apr2012,6,2.0794415,0.16666667,.1166666666666667,-0.116666667,0,.2608745973749755,.2608745973749755,0,0,4,0,0,0,112,12544,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
