date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus,F1_pressConf,F2_pressConf,F3_pressConf,F4_pressConf,F5_pressConf,L1_pressConf,L2_pressConf,L3_pressConf,date_2
22feb2012,0,,,,,,,,,0,2,0,0,0,53,2809,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
23feb2012,68,4.3694477,.023788927,.5183823529411765,.3610294117647058,0,.3391061359711546,.503359711473761,0,0,2,0,0,0,54,2916,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
24feb2012,83,4.5432949,.01640296,.1427710843373494,-.0162650602409639,.036144578313253,.309111876861593,.3401017241284099,.186649799817225,0,2,0,0,0,55,3025,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
25feb2012,17,3.0445225,.072664358,.1705882352941177,-.1705882352941177,.1176470588235294,.329017621345285,.329017621345285,.3221897397089212,0,2,0,0,0,56,3136,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
26feb2012,16,3.1780539,.0703125,.2125,0,.125,.3756244800329179,.4315669125408017,.3307189138830738,0,2,0,0,0,57,3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
27feb2012,53,4.2626801,.022427911,.589622641509434,.1915094339622642,0,.4500201068777709,.7165871145075774,0,0,2,0,1,0,58,3364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
28feb2012,46,3.9702919,.02551985,.6282608695652173,.2326086956521739,.0217391304347826,.3948929648476916,.704659753796141,.1458305202717252,0,2,0,0,0,59,3481,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
29feb2012,90,4.7706847,.020740742,.2694444444444444,.1716666666666667,0,.4166462957983297,.4655373239601741,0,0,2,0,0,0,60,3600,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
01mar2012,99,4.6728287,.016835017,.1464646464646465,.0575757575757576,0,.3312245816626573,.3575564966563939,0,0,3,0,0,0,61,3721,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
02mar2012,67,4.4067192,.027400311,.1992537313432836,.1186567164179105,.0298507462686567,.3008064455924402,.3407449938195699,.1701754365819609,0,3,0,0,0,62,3844,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
03mar2012,10,2.3025851,.12,.7,.7,.1,.458257569495584,.458257569495584,.3,0,3,0,0,0,63,3969,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63
04mar2012,6,2.0794415,.16666667,.3333333333333333,.3333333333333333,0,.4714045207910317,.4714045207910317,0,0,3,0,0,0,64,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64
05mar2012,109,4.7361984,.01422439,.7678899082568807,.755045871559633,0,.4198909281581739,.4425709373569934,0,0,3,0,0,0,65,4225,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65
06mar2012,5,2.0794415,.28,.74,.46,0,.3878143885933063,.6974238309665077,0,0,3,0,1,0,66,4356,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66
07mar2012,11,2.4849067,.12396695,.0909090909090909,.0909090909090909,0,.2874797872880345,.2874797872880345,0,0,3,0,0,0,67,4489,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67
08mar2012,93,4.6821313,.020696035,.2154121863799283,-.0207885304659498,.010752688172043,.3405512131650259,.4024243728083797,.1031361617916715,1,3,0,0,0,68,4624,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
09mar2012,68,4.2341065,.022058824,.0205882352941176,.0205882352941176,0,.1182704074287242,.1182704074287242,0,0,3,0,0,0,69,4761,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69
10mar2012,6,2.0794415,.16666667,.3333333333333333,.3333333333333333,0,.4714045207910317,.4714045207910317,0,0,3,0,0,0,70,4900,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70
11mar2012,2,.69314718,1,0,0,.5,0,0,.5,0,3,0,0,0,71,5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71
12mar2012,8,2.1972246,.125,0,0,.125,0,0,.3307189138830738,0,3,0,0,0,72,5184,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
13mar2012,79,4.3944492,.020669764,.1128691983122363,-.0643459915611814,.0042194092827004,.3068251902591392,.3205319744974161,.0372648137819741,0,3,0,1,1,73,5329,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
